txid,blockNum,time,address,total_fee,transaction_fee,storage_fee
0xc2bfcc2a4fa0d4bcb84200d098a7b10b32d92ab46b750a79f9d295b9cabe3543,7254251,2020-02-03T10:50:17Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,31197449,31197449,0
0xe6c4ce7c820f84f68c04723906e9b01230f9e5cbd44d7dbc454d66f4af894c7a,7258549,2020-02-04T04:42:53Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,31099000,31099000,0
0x9a12f9e41f71f702027e9135914a779764d148a9b24b4104cf7a30ea6d544a6d,7258990,2020-02-04T06:22:53Z,0x90924bE2d8763Da8B3e5ab765cCA2ac2E92B2202,31099000,31099000,0
0x9582e1175cc8634dae21b925353ac07c2f3fded01b385ba95000ec855ea6cd8b,7259169,2020-02-04T07:05:06Z,0x90924bE2d8763Da8B3e5ab765cCA2ac2E92B2202,31197937,31197937,0
0x191f5239e6964619ec0f17c826132f419a58a6a88843e11a6ce74c66714c1a4d,7259230,2020-02-04T07:23:39Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,31099000,31099000,0
0xe89374a091675053e6351612ffa0c7063a6064a1e4bc2f5a40d834a5dd0681e8,7259254,2020-02-04T07:29:30Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,31099000,31099000,0
0x5cd9cc37b2e6b1aea9b839fa0d0f8ee710df8dceaf308b67f976990dc77528f2,7259321,2020-02-04T07:43:20Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,31099000,31099000,0
0x4509bd89e70c18526ff3e6061fb2c1b070566d9ac7a14d201028d435a4470d1e,7259343,2020-02-04T07:49:18Z,0x90924bE2d8763Da8B3e5ab765cCA2ac2E92B2202,31099000,31099000,0
0xee4f28a5ee89b1cee67039bd58eb17717736fdf37b151ef5e0d0dee1e51176b8,7259428,2020-02-04T08:10:24Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,99999000,99999000,0
0x0d40f32b86c82f2961065e9566d487a77f2af5214ffd7cefb8c35b655dd02a02,7259445,2020-02-04T08:15:26Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,99990000,99990000,0
0x48d78b0b939eddf51b0becd6d947695e41c82d6e11fe2a97da087eb6b6ff1d0e,7259464,2020-02-04T08:18:36Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,100088899,100088899,0
0x633fc00462cac3e39644a4395dc634f13993bd5a4c02911cf471a5a982f700b4,7318332,2020-02-13T09:33:40Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,314483,0,0
0xbe44b425f13cd33c61a7910218d2ee907a2adf5087e83cdaadeb9827c14479c7,7318866,2020-02-13T11:26:34Z,0x90924bE2d8763Da8B3e5ab765cCA2ac2E92B2202,37670890,31099000,6571890
0x6742bb0aa2ba667e4efcbed5411be8d5e30aa681fef083cccc13862b1056fe14,7325511,2020-02-14T11:29:31Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,11403803,9999000,1404803
0x0cc4bd5576fb6b92467698b5bd84451ebf0335c3421714d7fd275c1347da2f81,7325545,2020-02-14T11:38:20Z,0x5B41c6041c7714A427Fe0991255C5A4531a67480,31099000,31099000,0
0x1760d04602f8cc2e61e037081c8fcf1a9879b98785ecb77a4ecbc7a4c6c042a6,7400605,2020-02-25T15:07:50Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,2828560,0,0
0xa770f57cce6e29f5de2548f246daa8877169f52d6e8887bb98bcd05381a698e9,7400618,2020-02-25T15:09:45Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,100000,100000,0
0x1b1f5386f7ee98570ae1ead55d4f59d4f99b7c6873a48b78ef81e40bb364f5b9,7400650,2020-02-25T15:11:35Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10000,10000,0
0xc0ea5cb026ad65220148c263bf15aaefb6a5c2e7cba456fef30ed5379af95e47,7444720,2020-03-03T10:15:31Z,0x737b1ED8D6ffcbD913f22f209fa5F74bAf1D7429,54520,50000,4520
0xc0ea5cb026ad65220148c263bf15aaefb6a5c2e7cba456fef30ed5379af95e47,7444720,2020-03-03T10:15:31Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,787332,50000,4520
0xa31812291c1747e796aed87f4fa0113d9a30d7ac8d7405e3d3b0add3b91aa3cb,7444726,2020-03-03T10:17:39Z,0x737b1ED8D6ffcbD913f22f209fa5F74bAf1D7429,10000,10000,0
0x2adcd2457ae7a2e647415c0ce5180c719bf3c1ef6220d2f0405d54858beb0fbe,7453173,2020-03-04T14:18:28Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,131727,100,131627
0x2adcd2457ae7a2e647415c0ce5180c719bf3c1ef6220d2f0405d54858beb0fbe,7453173,2020-03-04T14:18:28Z,0x737b1ED8D6ffcbD913f22f209fa5F74bAf1D7429,342,100,131627
0xd9dbbd42752bb92bb897e6b7c65122018c01bca8bd89c58ca618e44821f50a1a,7453179,2020-03-04T14:19:23Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10,10,0
0x43af846109c3de4cf8677902f3b46e91551bf2531f96bf07c6c76413c09ca791,7453194,2020-03-04T14:21:00Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10,10,0
0x4451c852c5fd2441cef819e031611995ef3fdfc4da993496150171728ecb2268,7458404,2020-03-05T08:13:54Z,0xd4B390Def6f68aFA62ba5422654D9C6621e56Ae9,31145648,31145648,0
0x64fe8cd357acd7c562717681d5ed0c9c4d705575dd1ef675636b9d4274869156,7458458,2020-03-05T08:26:32Z,0xd4B390Def6f68aFA62ba5422654D9C6621e56Ae9,31145648,31145648,0
0x3624ab60e39de05f6382e5f1cf4917fa17a3746365f275fbb3de783277d724fa,7458663,2020-03-05T09:10:10Z,0xd4B390Def6f68aFA62ba5422654D9C6621e56Ae9,31145648,31145648,0
0xfb21439622efa1f8f0a4b57f44d87c923ddb1c28d80c82393cbad64b67aed915,7458744,2020-03-05T09:26:51Z,0xd4B390Def6f68aFA62ba5422654D9C6621e56Ae9,31145648,31145648,0
0x48d626548c349aec48fb9ae5749cf2bcd19f565b09e4aca3b5f4db161f34284f,7458852,2020-03-05T09:48:36Z,0xd4B390Def6f68aFA62ba5422654D9C6621e56Ae9,31145648,31145648,0
0x9765b15e9c7d67804af59e434346cf09f928a94a09d859b7f767dfb7885cb528,7498076,2020-03-11T06:02:49Z,0xd4B390Def6f68aFA62ba5422654D9C6621e56Ae9,11810987,9998000,1812987
0x6d7811df2e0dedb0a6661b74419fb4a0aa18d49bff38161101ee09d858e95908,7507783,2020-03-12T15:07:46Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,1053006,0,0
0xc2aa635a60e4cec67d1420d206df62fcf95288c0eb277266988cf4ccb63d6ca1,7522584,2020-03-15T10:52:24Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,364607,100000,264607
0xc2aa635a60e4cec67d1420d206df62fcf95288c0eb277266988cf4ccb63d6ca1,7522584,2020-03-15T10:52:24Z,0x737b1ED8D6ffcbD913f22f209fa5F74bAf1D7429,3428,100000,264607
0x2b2bbc3f97d26dfd7b005270e906c136cb0b8865c58f880cfb786c13f21e6934,7618565,2020-03-30T10:13:58Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,1942626,100000,1842626
0x2b2bbc3f97d26dfd7b005270e906c136cb0b8865c58f880cfb786c13f21e6934,7618565,2020-03-30T10:13:58Z,0x737b1ED8D6ffcbD913f22f209fa5F74bAf1D7429,14388,100000,1842626
0xb1fdd31b224185bde8b1a040a6f00d910fcd49b1703cfe68531c41220b5ef7fb,7618581,2020-03-30T10:18:50Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,300000,300000,0
0xd9a2355a8738a47e041322ece3b313ec0a4229cde8adba9e3793f1115fb07204,7618707,2020-03-30T10:44:06Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,100000,100000,0
0x436ccec568f5f7a37e237eec0c0b1686dd0485e676db567838004eff1b2ac058,7618718,2020-03-30T10:47:16Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10000,10000,0
0xd5198d95a2f351c8deb575fbfa065de5c4e469bb52bff98be8fbd467881cc854,7618742,2020-03-30T10:54:06Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10000,10000,0
0x0d12358ea6cf81238d74a5c8c7f6fdadbe2d6ed818434ce16d1d971511dddb5c,7618750,2020-03-30T10:56:32Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10000,10000,0
0x309f9f1fce83cb4af193c9566b9c2c22797f18e25ebee2a6839fb3a6d9336c21,7618757,2020-03-30T10:58:50Z,0x03D09C5A44ADdCa5491F0d293ff927a4c5655F40,10000,10000,0
